Service_name,Service_url,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Google_Reviews,Service_Type
Financial Assistance for Military Families (American Red Cross),https://www.auntbertha.com//american-red-cross--washington-dc--financial-assistance-for-military-families/5931501920976896?postal=90013,"['emergency payments', 'emergency food', 'temporary shelter', 'burial & funeral help', 'financial assistance']",,"['adults 18+', 'active duty', 'national guard', 'veterans', 'families', 'spouses', 'emergency']",877-272-7337,https://www.redcross.org/get-help/military-families/financial-assistance.html,,,"['Eligible for financial assistance if you are: An active duty service member OR', 'A member of an activated National Guard or Reserve unit OR', 'An immediate family member of a service member in the above two categories OR', 'A military retiree or spouse/widow(er) of a retiree.']",available,"The American Red Cross works in partnership with military aid societies to provide quality, reliable financial assistance to eligible applicants 24/7/365 in times of hardship.This program provides: - Financial assistance for emergency needsAssistance can include funds for emergency travel, burial of a loved one, emergency food and shelter, etc. Red Cross helps to facilitate the application process, the military aid society determines eligibility and the specific financial assistance package that is offered.You can submit a request online or call the American Red Cross Hero Care Center.  When calliing, be sure to have the following information ready to provide the representative:- Legal name- Rank or rating- Social Security number- Date of birth- Branch of service (Army, Navy, Air Force, Marines, Coast Guard)- Military unit address- Information about the deployed unit and home base unit (for deployed service members only)",['English'],Free,False,https://www.facebook.com/redcross,https://www.twitter.com/@redcross,"This program covers residents of the following states: AK, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV and WY.",,,,True,,,,,,,,0,Shelter
Long-Term Shelter (Pacific Lifeline),https://www.auntbertha.com//pacific-lifeline--upland-ca--long-term-shelter/6283360483934208?postal=90013,['temporary shelter'],"['food pantry', 'baby supplies', 'clothes for school', 'clothes for work', 'toys & gifts', 'personal hygiene', 'family counseling', 'individual counseling', 'recreation', 'navigating the system', 'case management', 'spiritual support', 'tutoring']","['adults', 'young adults', 'female', 'with children', 'homeless', 'low-income', 'limited english', 'mothers']",909-931-2624,http://www.pacific-lifeline.org,,,['This program helps women and their children (ages 12 and below).'],waitlist,"Pacific Lifeline is a faith-based Long-Term Shelter serving homeless women and their children from San Bernardino, Riverside, and east Los Angeles counties, empowering them to achieve personal and social stability.This program provides: - Shelter for women and their childrenResidents may also receive: - Groceries and paper products- Cleaning supplies- Toiletries and baby supplies- Laundry facilities- Clothing for school and/or work- Individual and family counseling- Case management- Children's tutoring and group activities- Family enrichment activities- Re-entry homes- Access to food, necessities, and giftsMost residents are referred through short term programs, so if you are involved with one, please have your case worker contact the office. Otherwise, please contact the office and they will determine if you qualify for the Long-Term Shelter program. If you don't qualify, they will give you phone numbers for other organizations that may be able to help you.Referring organizations can call the shelter directly. Please note that this is not an emergency shelter and that the application process may take two weeks.","['English', 'Spanish']",Free,False,https://www.facebook.com/pacific.lifeline?_rdr,https://www.twitter.com/@PacificLifeline,"This program covers residents of the following counties: Los Angeles County, CA, Riverside County, CA and San Bernardino County, CA.",,,,False,?,?,?,?,?,?,?,0,Shelter
Angel's Flight for Runaway and Homeless Youth (Catholic Charities of Los Angeles Inc.),https://www.auntbertha.com//catholic-charities-of-los-angeles%252C-inc.--los-angeles-ca--angel%2527s-flight-for-runaway-and-homeless-youth/5802764892897280?postal=90013,"['temporary shelter', 'meals', 'clothing', 'substance abuse counseling', 'medical care', 'counseling', 'mental health care', 'community support services', 'recreation', 'case management', 'more education', 'tutoring', 'youth development', 'help find work']",,"['teens', 'homeless', 'runaways']",213-251-3400,https://catholiccharitiesla.org/angels-flight-for-runaway-and-homeless-youth/,"1531 James M Wood Boulevard, Los Angeles, CA 90015","https://www.google.com/maps/?q=1531+James+M+Wood+Boulevard,+Los+Angeles,+CA+90015/",['This program helps people who are 10 to 17 years old.'],available,"Angel’s Flight provides emergency shelter for homeless, runaway, and at-risk youth and offers essential services, including food, medical care, clothing, transportation, case management, counseling, educational assessment, and classroom learning.This program provides:- Shelter for runaway and homeless youth",['English'],Free,True,https://www.facebook.com/Catholic.Charities.LA,,"This program covers residents of the following counties: Los Angeles County, CA.",34.050688,-118.272225,90015.0,False,11:30AM - 8:00PM,11:30AM - 8:00PM,11:30AM - 8:00PM,11:30AM - 8:00PM,11:30AM - 8:00PM,Closed,Closed,4.4,Shelter
Transform Homelessness Program - McGill Street House (Catholic Charities of Los Angeles Inc.),https://www.auntbertha.com//catholic-charities-of-los-angeles%252C-inc.--los-angeles-ca--transform-homelessness-program---mcgill-street-house/5700552139210752?postal=90013,"['temporary shelter', 'short-term housing', 'case management']","['nutrition education', 'help find housing', 'parenting education', 'counseling', 'financial education', 'navigating the system', 'one-on-one support', 'more education', 'skills & training', 'daily life skills']","['teens', 'children', 'adults 18+', 'female', 'with children', 'single parent', 'homeless']",213-251-3400,https://catholiccharitiesla.org/mcgill-street-house/,"1531 James M Wood Boulevard, Los Angeles, CA 90015","https://www.google.com/maps/?q=1531+James+M+Wood+Boulevard,+Los+Angeles,+CA+90015/",['This program serves women and children who are experiencing multiple and complex barriers toward a self-determined life and secure permanent housing.'],available,"McGill Street House is a 4-6 months program providing a wide array of social services to women and children who are experiencing multiple and complex barriers toward a self-determined life and secure permanent housing. Through case management, individualized service plans are developed with the clients to determine the resources that need to be mobilized to help them transition to more stable and self-sufficient life styles.This program provides:- Transitional housingLearning opportunities within the McGill House include:- Parenting skills- Asset building skills- Nutrition and life skills",['English'],Free,True,https://www.facebook.com/Catholic.Charities.LA,,"This program covers residents of the following counties: Los Angeles County, CA.",34.050688,-118.272225,90015.0,False,11:30AM - 8:00PM,11:30AM - 8:00PM,11:30AM - 8:00PM,11:30AM - 8:00PM,11:30AM - 8:00PM,Closed,Closed,4.4,Shelter
Emergency Shelter Services (Los Angeles House of Ruth),https://www.auntbertha.com//los-angeles-house-of-ruth-%2528lahr%2529--los-angeles-ca--emergency-shelter-services/6231509560197120?postal=90013,"['temporary shelter', 'help escape violence', 'short-term housing']","['nutrition education', 'mental health care', 'case management', 'advocacy & legal aid']","['children', 'families', 'homeless', 'domestic violence survivors', 'emergency']",323-266-4139,https://losangeleshouseofruth.com/programs-services/shelter-housing/,,,['Must be a family with children to access this program.'],available,"The Emergency Shelter Services program provides shelter to families that are homeless or fleeing domestic violence. LAHR’s Emergency Shelter Services provides homeless families with short-term emergency shelter, meals and case management to place them into proper bridge housing or permanent housing.Services provided:- Emergency ShelterParticipants in this program also benefit from:- Mental Health Counseling- Case Management- Food & Nutrition Education Program- Legal ServicesInterested participants must go through coordinated entry (CES) or present proof of homelessness (this can be issued by a police officer, social worker, any public support) to access services.",['English'],Free,False,https://www.facebook.com/LAHouseofRuth,https://www.twitter.com/@LaHouseofRuth,"This program covers residents of the following counties: Los Angeles County, CA.",,,,False,?,?,?,?,?,?,?,0,Shelter
Good Shepherd Center (Catholic Charities of Los Angeles Inc.),https://www.auntbertha.com//catholic-charities-of-los-angeles%252C-inc.--los-angeles-ca--good-shepherd-center/5702774893838336?postal=90013,"['temporary shelter', 'short-term housing', 'navigating the system']","['meals', 'more education', 'help find work']","['all ages', 'all disabilities', 'female', 'with children', 'homeless', 'mothers']",213-251-3400,https://catholiccharitiesla.org/good-shepherd-center-for-homeless-women-and-children/,"1531 James M Wood Boulevard, Los Angeles, CA 90015","https://www.google.com/maps/?q=1531+James+M+Wood+Boulevard,+Los+Angeles,+CA+90015/",['This program serves mothers with children experiencing homelessness.'],available,Good Shepherd Center offers transitional housing and supportive services to homeless women and children.This program provides:- Short term housing- Employment services- Educational-focused transitional housing program- On-site culinary program/cafe,"['English', 'Spanish']",Free,True,https://www.facebook.com/Catholic.Charities.LA,,"This program covers residents of the following counties: Los Angeles County, CA.",34.0506162,-118.2722591,90015.0,False,11:30AM - 8:00PM,11:30AM - 8:00PM,11:30AM - 8:00PM,11:30AM - 8:00PM,11:30AM - 8:00PM,Closed,Closed,4.4,Shelter
Minor Victims Assistance Sanctuary,https://www.auntbertha.com//volunteers-of-america-los-angeles-%2528voala%2529--los-angeles-ca--minor-victims-assistance-sanctuary/6214853035425792?postal=90013,"['temporary shelter', 'long-term housing', 'addiction & recovery', 'daily life skills', 'navigating the system', 'case management', 'support network', 'peer support', 'ged/high-school equivalency', 'skills & training']",,"['adults 18+', 'undocumented', 'individuals', 'homeless', 'trauma survivors', 'human trafficking survivors', 'emergency', 'substance dependency']",213-389-1500,https://voala.org/program/sanctuary/,,,"['Serves Human and Labor Trafficking Survivors.', 'This program helps people who are younger than 18 years old']",available,"MVAS provides a comprehensive array of services for minor victims of Human Trafficking and their families/caregivers to address their safety, security and healing in Los Angeles County.This program provides:- Life skills workshops- GED assistance- Employment readiness support- Peer support groups- Substance abuse support referrals- Case management wrap around- Emergency shelter- Long term housingTo access this program, please contact us for a referral form to fill out.","['English', 'Spanish']",Free,True,https://www.facebook.com/voalaca/,https://www.twitter.com/@voalaca,"This program covers residents of the following counties: Los Angeles County, CA.",,,,False,9:00 AM - 5:00 PM  PST,9:00 AM - 5:00 PM  PST,9:00 AM - 5:00 PM  PST,9:00 AM - 5:00 PM  PST,9:00 AM - 5:00 PM  PST,Closed,Closed,,
Human Trafficking Victim Assistance - Adults,https://www.auntbertha.com//volunteers-of-america-los-angeles-%2528voala%2529--los-angeles-ca--human-trafficking-victim-assistance---adults/5386913297072128?postal=90013,"['emergency food', 'temporary shelter', 'long-term housing', 'clothing', 'personal care items', 'transportation', 'daily life skills', 'counseling', 'navigating the system', 'case management', 'help find work', 'skills & training']",,"['adults 18+', 'undocumented', 'individuals', 'homeless', 'trauma survivors', 'human trafficking survivors', 'emergency']",213-610-7797,https://voala.org/program/sanctuary/,,,"['Serves Human and Labor Trafficking Survivors.', 'This program helps people who are older than 17 years old.']",available,"Volunteers of America Los Angeles (VOALA) provides trauma informed services and a safe, confidential space for Human and Labor Trafficking Victims.This program provides:- Emergency shelter- Long term housing- Extensive case management- Emergency food/clothing- Hygiene products- Job development- Employment services- Life skills workshops- Counseling- Transportation- Referrals to community resourcesTo access this program, please contact us for a referral form to fill out.","['English', 'Spanish']",Free,True,https://www.facebook.com/voalaca/,https://www.twitter.com/@voalaca,"This program covers residents of the following counties: Los Angeles County, CA.",,,,False,9:00 AM - 5:00 PM  PST,9:00 AM - 5:00 PM  PST,9:00 AM - 5:00 PM  PST,9:00 AM - 5:00 PM  PST,9:00 AM - 5:00 PM  PST,Closed,Closed,,
Outreach + Emergency Shelter,https://www.auntbertha.com//thepeopleconcern--los-angeles-ca--outreach-%252B-emergency-shelter/4861505874427904?postal=90013,"['temporary shelter', 'short-term housing', 'navigating the system']",,"['all ages', 'homeless', 'male', 'female']",310450-4050,https://www.thepeopleconcern.org/get-help.php,"526 S San Pedro St, Los Angeles, CA 90013","https://www.google.com/maps/?q=526+S+San+Pedro+St,+Los+Angeles,+CA+90013/",[],Not specified,"Outreach + Emergency Shelter Program offers more than 160 emergency shelter beds for women and men that want to leave the streets and work towards securing housing.Through the program, individuals have access to a caring and experienced community that helps them secure housing and government benefits, accompanies them to medical, legal and community appointments, and encourages participation in mental health and recovery services. During their stay in one of our shelters, our they lay the foundation to maintain housing so that they are prepared to enjoy a different way of life that is both secure and fulfilling.","['English', 'Spanish']",Reduced Cost,False,https://www.facebook.com/ThePeopleConcern/,https://www.twitter.com/@ThePplConcern,"This program covers residents of the following counties: Los Angeles County, CA.",34.043182,-118.2439629,90013.0,False,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,Closed,Closed,,
Recovery from Homelessness Program (RFHP),https://www.auntbertha.com//whittier%2527s-first-day--whittier-ca--recovery-from-homelessness-program-%2528rfhp%2529/5745506855157760?postal=90013,"['temporary shelter', 'short-term housing']","['meals', 'navigating the system', 'case management', 'financial education', 'help find work']","['adults 18+', 'homeless']",562-693-4097,https://www.whittierfirstday.org/bridgeinterim-shelter/,,,"['This program helps people who are older than 17 years old.', 'Must be homeless.']",available,"The Recovery from Homelessness Program provides temporary and transitional housing for up to 45 homeless and chronically homeless men and women from the Greater Whittier area at a time. This housing is a supportive environment linked to services and individualized planning to assist them in achieving self-sufficient lives off the streets.This program provides:- Temporary shelter- Short-term housingResidents have access to the following services:- Meals- Case management- Help accessing additional services- Money management counseling- Help find work, in later stages of the programResidents also have an opportunity to participate in a “Resident Bank” savings account program.This program runs through four stages, each of which is designed to help residents progress toward full independence and permanent housing. Residents must complete life skills assignments each week.",['English'],Free,True,https://www.facebook.com/pages/Whittiers-First-Day/117102758321522,,"This program covers residents of the following counties: Los Angeles County, CA.",,,,False,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,8:00 AM - 5:00 PM  PST,Closed,Closed,,
